#Platform	Type	s_gb	s_largest_file_gb	s_already_compressed_gb	already_compressed_ratio	s_compressed_gb	compressed_ratio	t_archive_mins	t_unpack_mins	t_archive_12.5_gb_mins	t_unpack_12.5_gb_mins	t_archive_25.0_gb_mins	t_unpack_25.0_gb_mins	t_archive_50.0_gb_mins	t_unpack_50.0_gb_mins
hiseq4000	MultiProjectRun	323.0	12.5	317.9	0.99	265.0	0.82	404	336	331	137	310	141	584	462
hiseq4000	MultiProjectRun	998.0	23.0	547.9	0.55	822.0	0.82	1136	426	1311	466	956	435	1530	475
hiseq	GenericRun	230.0	3.8	214.8	0.94	182.0	0.79	276	136	412	175	252	104	398	114
hiseq	GenericRun	934.0	18.0	355.4	0.38	612.0	0.66	1226	772	1887	1099	1345	716	1073	542
hiseq	MultiProjectRun	1021.0	12.6	533.4	0.52	658.0	0.65	1623	733	1378	428	1730	701	1672	391
hiseq	MultiProjectRun	191.0	5.5	136.9	0.72	154.0	0.81	197	88	292	154	253	214	175	74
hiseq	MultiProjectRun	418.0	15.3	269.3	0.65	303.0	0.73	399	165	437	176	582	301	938	500
hiseq	MultiProjectRun	606.0	5.8	314.3	0.52	491.0	0.81	596	261	731	413	604	286	1084	358
hiseq	MultiProjectRun	608.0	6.4	435.7	0.72	488.0	0.80	596	249	748	271	683	355	795	661
hiseq	MultiProjectRun	686.0	17.3	318.5	0.47	557.0	0.81	650	280	787	760	637	276	1224	555
hiseq	MultiProjectRun	803.0	18.6	228.1	0.28	372.0	0.46	1546	610	1707	1112	1136	293	1123	299
hiseq	MultiProjectRun	951.0	17.8	245.1	0.26	521.0	0.55	1234	422	1254	361	1370	493	1328	1115
hiseq	MultiProjectRun	978.0	11.1	550.9	0.56	734.0	0.75	1404	796	2239	861	1015	487	2057	632
illumina-ga2x	GenericRun	11.0	2.0	10.0	0.96	8.4	0.76	8	4	10	2	14	11	8	2
illumina-ga2x	GenericRun	204.0	0.1	0.0	0.00	38.0	0.22	1615	945	1937	2085	1306	532	961	260
illumina-ga2x	GenericRun	44.0	4.2	32.5	0.76	33.0	0.77	33	11	41	12	36	14	35	23
illumina-ga2x	GenericRun	91.0	0.1	0.0	0.00	18.0	0.23	521	258	887	542	507	625	463	295
miniseq	MultiProjectRun	7.3	0.2	6.0	0.86	5.0	0.71	10	2	13	6	8	5	60	97
miseq	GenericRun	4.7	1.3	4.4	0.96	3.7	0.79	3	0	4	1	3	1	3	0
miseq	GenericRun	61.0	0.0	0.0	0.00	16.0	0.29	306	23	373	190	232	256	156	217
miseq	MultiProjectRun	110.0	22.5	7.1	0.07	16.0	0.15	235	124	112	69	161	46	140	131
miseq	MultiProjectRun	29.0	1.7	8.0	0.28	11.0	0.38	28	6	30	8	36	25	48	41
miseq	MultiProjectRun	37.0	8.7	10.3	0.28	15.0	0.41	54	8	56	11	55	8	54	11
miseq	MultiProjectRun	37.0	9.9	8.5	0.24	9.9	0.28	28	7	25	8	28	17	24	7
nextseq	MultiProjectRun	103.0	3.1	45.1	0.44	85.0	0.83	117	42	117	44	102	36	174	130
nextseq	MultiProjectRun	125.0	3.3	124.0	1.00	103.0	0.82	147	71	283	171	190	166	295	146
nextseq	MultiProjectRun	142.0	4.0	35.0	0.25	117.0	0.82	140	69	133	56	132	52	138	63
nextseq	MultiProjectRun	17.0	1.2	15.4	0.94	13.0	0.76	17	3	14	3	17	10	13	3
nextseq	MultiProjectRun	21.0	0.5	19.5	0.95	17.0	0.81	38	33	17	4	14	4	16	6
nextseq	MultiProjectRun	43.0	3.0	41.9	1.00	35.0	0.81	34	14	30	11	44	29	71	42
nextseq	MultiProjectRun	814.0	21.4	40.8	0.05	262.0	0.32	1133	292	1087	288	1133	284	1145	282
other	GenericRun	65.0	4.1	0.0	0.00	20.0	0.31	142	20	174	37	172	53	170	43
other	MultiProjectRun	67.0	8.4	8.6	0.13	30.0	0.45	88	23	92	24	83	21	83	24
other	MultiSubdirRun	476.0	107.7	126.6	0.27	333.0	0.70	558	207	691	192	564	233	544	187
solid4	GenericRun	195.0	18.5	0.0	0.00	39.0	0.20	512	192	413	111	387	85	442	214
solid4	GenericRun	372.0	18.0	2.2	0.01	111.0	0.30	754	132	764	157	914	306	1044	362
solid4	GenericRun	4.3	0.8	0.0	0.00	1.4	0.33	10	1	4	2	4	1	7	2
solid4	GenericRun	453.0	31.7	0.0	0.00	139.0	0.31	924	338	864	219	931	275	830	270
solid4	GenericRun	486.0	27.2	0.0	0.00	105.0	0.22	1288	251	1184	217	1179	249	1269	425
solid4	GenericRun	718.0	6.3	0.0	0.00	342.0	0.48	1967	417	2472	2463	1486	373	2130	1742
solid4	MultiSubdirRun	119.0	19.1	78.9	0.67	73.0	0.61	141	62	229	79	189	77	162	44
solid4	MultiSubdirRun	137.0	9.1	43.2	0.32	57.0	0.42	254	52	345	77	262	53	250	48
solid4	MultiSubdirRun	173.0	6.9	41.2	0.24	114.0	0.66	218	93	192	63	180	66	297	175
solid5500	GenericRun	66.0	10.8	0.0	0.00	29.0	0.44	245	154	195	123	128	27	144	38
solid5500	GenericRun	866.0	31.4	0.0	0.00	153.0	0.18	1401	313	1686	302	1361	305	1846	850
